id;centro_costo;figura;variedad;especie
151;B151;MARRON;P16M9;PEPPER
152;B152;BLANCO;P17M2;PEPPER
153;B153;COPA;P17M4;PEPPER MS
154;B154;PLOMO;P17M8;PEPPER
155;B155;ARBOL;P18M0;PEPPER MS
156;B156;SOFA;P5M03;PEPPER MS
157;B157;CUADRADO;P5M96;PEPPER
158;B158;CORONA;P7M45;PEPPER MS
159;B159;YAMAHA;P9M53;PEPPER MS
160;B160;BUHO;PTB0100;TOMATO NO GSPP
161;B161;EMBUDO;VPP-SBR-1799;PEPPER
162;B162;NUMERO 88;ZP00057;PEPPER
163;B163;DON RAMON;ZP00058;PEPPER
